keyword,avg_controversy,videos,avg_views
trolling,0.4519467851252761,50,1420141.02
education,0.3983028291674486,24,2684432.8333333335
history,0.3980853245140743,50,15047130.12
cubes,0.3616158489327605,50,15038739.34
sat,0.3615069568503387,49,1065868.7142857143
tech,0.3582067490482473,48,1918806.9375
crypto,0.35666527494523953,50,404608.22
chess,0.35021275586833533,47,1323293.9574468085
biology,0.350206567396905,47,4121605.829787234
google,0.34968560212607946,45,103364970.66666667
apple,0.3451967129453513,42,10746930.452380951
news,0.3427511092627919,39,247492.1794871795
finance,0.33399019699561927,39,694223.4358974359
cnn,0.3336599027134005,50,554240.38
sports,0.31720397979119663,49,8601204.734693877
xbox,0.31701893522173574,49,1703980.918367347
how-to,0.3139385210699387,48,7809284.916666667
literature,0.30721993503079725,46,863021.2391304348
reaction,0.30696557759732757,50,623172.46
animals,0.2979311683615697,38,94723960.92105263
physics,0.2959033999616409,50,3692387.28
computer science,0.28703815437929614,48,1191958.7083333333
interview,0.27994574353027946,50,2966111.86
mrbeast,0.277801930048118,50,66764003.98
bed,0.27546580777045,44,53893228.61363637
movies,0.27483191385069417,45,4788636.4
marvel,0.2740144057504713,50,6614079.56
food,0.26858867211728793,48,5252406.25
game development,0.26547204475122055,50,724688.54
business,0.2629982781952803,48,7236354.520833333
gaming,0.25861855657438665,43,519645.488372093
nintendo,0.24895241821705075,48,1665042.25
tutorial,0.24195355145946074,50,6761032.02
minecraft,0.24050901144040415,50,1812770.74
mathchemistry,0.2308746072461252,15,3328125.2666666666
mukbang,0.2303514719574059,45,10904772.355555555
data science,0.21960894184968724,50,544771.98
machine learning,0.2103077403926211,48,1312602.25
music,0.19139554812519102,46,29364893.260869566
asmr,0.17731939919333797,50,1706615.82
lofi,0.15756385796918718,41,3989972.2195121953
